"Label (Grouping)","Los Angeles County, California!!Total!!Estimate","Los Angeles County, California!!Total!!Margin of Error","Los Angeles County, California!!Male!!Estimate","Los Angeles County, California!!Male!!Margin of Error","Los Angeles County, California!!Female!!Estimate","Los Angeles County, California!!Female!!Margin of Error"
"Total population","9,840,024","*****","4,852,259","*****","4,987,765","*****"
"AGE","","","","","",""
"    Under 5 years","6.6%","*****","6.9%","*****","6.4%","*****"
"    5 to 9 years","6.4%","±0.1","6.7%","±0.1","6.2%","±0.1"
"    10 to 14 years","6.9%","±0.1","7.1%","±0.1","6.7%","±0.1"
"    15 to 19 years","7.6%","*****","7.8%","*****","7.3%","*****"
"    20 to 24 years","7.7%","*****","8.0%","*****","7.4%","*****"
"    25 to 29 years","7.8%","*****","8.1%","*****","7.5%","*****"
"    30 to 34 years","7.3%","*****","7.5%","*****","7.2%","*****"
"    35 to 39 years","7.2%","±0.1","7.3%","±0.1","7.1%","±0.1"
"    40 to 44 years","7.4%","±0.1","7.5%","±0.1","7.2%","±0.1"
"    45 to 49 years","7.1%","*****","7.2%","*****","7.1%","*****"
"    50 to 54 years","6.7%","*****","6.7%","*****","6.8%","*****"
"    55 to 59 years","5.7%","±0.1","5.5%","±0.1","5.9%","±0.1"
"    60 to 64 years","4.6%","±0.1","4.4%","±0.1","4.8%","±0.1"
"    65 to 69 years","3.3%","±0.1","3.1%","±0.1","3.6%","±0.1"
"    70 to 74 years","2.5%","±0.1","2.3%","±0.1","2.8%","±0.1"
"    75 to 79 years","2.0%","±0.1","1.7%","±0.1","2.2%","±0.1"
"    80 to 84 years","1.6%","±0.1","1.3%","±0.1","1.9%","±0.1"
"    85 years and over","1.6%","±0.1","1.1%","±0.1","2.0%","±0.1"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","13.3%","*****","13.8%","*****","12.8%","*****"
"    15 to 17 years","4.5%","*****","4.7%","*****","4.3%","*****"
"    18 to 24 years","10.7%","*****","11.1%","*****","10.4%","*****"
"    15 to 44 years","44.9%","*****","46.1%","*****","43.8%","*****"
"    16 years and over","78.6%","±0.1","77.9%","±0.1","79.4%","±0.1"
"    18 years and over","75.6%","*****","74.7%","*****","76.5%","*****"
"    60 years and over","15.6%","±0.1","13.9%","±0.1","17.2%","±0.1"
"    62 years and over","13.6%","±0.1","11.9%","±0.1","15.2%","±0.1"
"    65 years and over","11.0%","*****","9.5%","*****","12.4%","*****"
"    75 years and over","5.1%","*****","4.1%","*****","6.1%","*****"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","34.8","±0.1","33.6","±0.1","36.0","±0.1"
"    Sex ratio (males per 100 females)","97.3","*****","(X)","(X)","(X)","(X)"
"    Age dependency ratio","54.7","*****","(X)","(X)","(X)","(X)"
"        Old-age dependency ratio","17.0","*****","(X)","(X)","(X)","(X)"
"        Child dependency ratio","37.8","*****","(X)","(X)","(X)","(X)"
"PERCENT IMPUTED","","","","","",""
"    Sex","0.2%","(X)","(X)","(X)","(X)","(X)"
"    Age","1.6%","(X)","(X)","(X)","(X)","(X)"
