"Label (Grouping)","Santa Cruz County, California!!Total!!Estimate","Santa Cruz County, California!!Total!!Margin of Error","Santa Cruz County, California!!Male!!Estimate","Santa Cruz County, California!!Male!!Margin of Error","Santa Cruz County, California!!Female!!Estimate","Santa Cruz County, California!!Female!!Margin of Error"
"Total population","270,931","*****","134,367","±139","136,564","±139"
"AGE","","","","","",""
"    Under 5 years","5.5%","±0.1","5.7%","±0.1","5.4%","±0.1"
"    5 to 9 years","5.5%","±0.3","5.7%","±0.4","5.4%","±0.4"
"    10 to 14 years","5.6%","±0.3","5.9%","±0.4","5.4%","±0.4"
"    15 to 19 years","8.4%","±0.1","8.5%","±0.2","8.4%","±0.2"
"    20 to 24 years","10.2%","±0.1","10.3%","±0.2","10.0%","±0.2"
"    25 to 29 years","6.1%","±0.1","6.4%","±0.1","5.7%","±0.1"
"    30 to 34 years","6.1%","±0.1","6.2%","±0.1","5.9%","±0.1"
"    35 to 39 years","6.0%","±0.3","6.3%","±0.4","5.7%","±0.3"
"    40 to 44 years","5.9%","±0.3","5.8%","±0.4","6.0%","±0.3"
"    45 to 49 years","6.3%","±0.1","6.3%","±0.1","6.3%","±0.1"
"    50 to 54 years","6.9%","±0.1","6.9%","±0.1","6.9%","±0.1"
"    55 to 59 years","7.4%","±0.2","6.9%","±0.3","7.9%","±0.3"
"    60 to 64 years","6.6%","±0.2","6.9%","±0.3","6.3%","±0.3"
"    65 to 69 years","5.2%","±0.2","5.0%","±0.2","5.4%","±0.2"
"    70 to 74 years","3.1%","±0.2","3.1%","±0.3","3.0%","±0.2"
"    75 to 79 years","2.1%","±0.1","1.8%","±0.2","2.3%","±0.2"
"    80 to 84 years","1.4%","±0.1","1.2%","±0.2","1.7%","±0.2"
"    85 years and over","1.8%","±0.1","1.2%","±0.2","2.3%","±0.2"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","11.2%","±0.1","11.5%","±0.1","10.8%","±0.1"
"    15 to 17 years","3.5%","±0.1","3.6%","±0.1","3.3%","±0.1"
"    18 to 24 years","15.1%","±0.1","15.2%","±0.1","15.1%","±0.1"
"    15 to 44 years","42.6%","±0.1","43.5%","±0.1","41.8%","±0.1"
"    16 years and over","82.2%","±0.1","81.7%","±0.2","82.7%","±0.2"
"    18 years and over","79.9%","*****","79.2%","±0.1","80.5%","±0.1"
"    60 years and over","20.1%","±0.2","19.2%","±0.3","21.0%","±0.3"
"    62 years and over","17.2%","±0.2","16.1%","±0.3","18.3%","±0.3"
"    65 years and over","13.5%","±0.1","12.3%","±0.1","14.7%","±0.1"
"    75 years and over","5.3%","±0.1","4.2%","±0.1","6.3%","±0.1"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","37.0","±0.2","36.0","±0.2","38.4","±0.4"
"    Sex ratio (males per 100 females)","98.4","±0.2","(X)","(X)","(X)","(X)"
"    Age dependency ratio","50.7","±0.1","(X)","(X)","(X)","(X)"
"    Old-age dependency ratio","20.4","±0.1","(X)","(X)","(X)","(X)"
"    Child dependency ratio","30.3","±0.1","(X)","(X)","(X)","(X)"
"PERCENT ALLOCATED","","","","","",""
"    Sex","0.0%","(X)","(X)","(X)","(X)","(X)"
"    Age","1.9%","(X)","(X)","(X)","(X)","(X)"
