"Label (Grouping)","Sutter County, California!!Total!!Estimate","Sutter County, California!!Total!!Margin of Error","Sutter County, California!!Male!!Estimate","Sutter County, California!!Male!!Margin of Error","Sutter County, California!!Female!!Estimate","Sutter County, California!!Female!!Margin of Error"
"Total population","96,651","*****","48,681","±725","47,970","±725"
"AGE","","","","","",""
"    Under 5 years","6.8%","±0.2","6.6%","±0.6","7.0%","±0.5"
"    5 to 9 years","7.2%","±1.0","7.7%","±1.7","6.7%","±1.4"
"    10 to 14 years","7.7%","±0.9","8.8%","±1.8","6.7%","±1.4"
"    15 to 19 years","7.2%","±1.1","7.8%","±1.4","6.6%","±1.4"
"    20 to 24 years","7.1%","±0.9","8.0%","±1.2","6.2%","±1.4"
"    25 to 29 years","6.7%","±0.8","5.9%","±1.0","7.5%","±1.2"
"    30 to 34 years","5.6%","±0.4","5.8%","±0.6","5.4%","±0.4"
"    35 to 39 years","6.7%","±1.3","6.5%","±2.1","6.9%","±1.7"
"    40 to 44 years","6.0%","±1.0","6.0%","±1.3","6.1%","±1.6"
"    45 to 49 years","6.1%","±0.8","6.2%","±1.4","5.9%","±0.9"
"    50 to 54 years","6.0%","±1.0","5.9%","±1.1","6.2%","±1.3"
"    55 to 59 years","5.5%","±0.8","5.1%","±1.0","5.9%","±1.2"
"    60 to 64 years","6.3%","±0.8","5.8%","±1.1","6.9%","±1.1"
"    65 to 69 years","4.9%","±1.0","5.0%","±1.4","4.7%","±1.0"
"    70 to 74 years","2.9%","±0.6","2.7%","±0.8","3.2%","±0.8"
"    75 to 79 years","2.2%","±0.7","1.8%","±0.7","2.7%","±0.9"
"    80 to 84 years","2.8%","±1.1","3.2%","±1.3","2.3%","±1.1"
"    85 years and over","2.2%","±0.7","1.0%","±0.6","3.5%","±1.1"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","14.9%","±0.4","16.5%","±0.8","13.4%","±0.9"
"    15 to 17 years","4.1%","±0.3","4.4%","±0.6","3.8%","±0.4"
"    18 to 24 years","10.2%","±0.9","11.3%","±1.1","9.0%","±1.2"
"    15 to 44 years","39.3%","±1.1","40.0%","±1.6","38.6%","±1.3"
"    16 years and over","77.1%","±0.5","75.6%","±1.1","78.6%","±1.1"
"    18 years and over","74.2%","±0.3","72.5%","±0.8","75.9%","±1.0"
"    60 years and over","21.3%","±0.8","19.6%","±1.2","23.1%","±1.1"
"    62 years and over","18.5%","±0.7","16.8%","±0.9","20.2%","±1.2"
"    65 years and over","15.0%","±0.3","13.8%","±0.4","16.2%","±0.4"
"    75 years and over","7.2%","±0.9","6.0%","±1.1","8.4%","±0.8"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","35.9","±0.6","34.3","±1.1","37.9","±0.9"
"    Sex ratio (males per 100 females)","101.5","±3.1","(X)","(X)","(X)","(X)"
"    Age dependency ratio","69.0","±1.3","(X)","(X)","(X)","(X)"
"    Old-Age dependency ratio","25.3","±0.7","(X)","(X)","(X)","(X)"
"    Child dependency ratio","43.6","±0.8","(X)","(X)","(X)","(X)"
"PERCENT ALLOCATED","","","","","",""
"    Sex","0.1%","(X)","(X)","(X)","(X)","(X)"
"    Age","0.6%","(X)","(X)","(X)","(X)","(X)"
