,Label (Grouping),"San Joaquin County, California!!Total!!Estimate","San Joaquin County, California!!Male!!Estimate","San Joaquin County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,7.9%,8.2%,7.7%
3,    5 to 9 years,8.0%,8.1%,7.8%
4,    10 to 14 years,8.2%,8.5%,7.9%
5,    15 to 19 years,8.4%,8.8%,8.0%
6,    20 to 24 years,7.2%,7.5%,6.8%
7,    25 to 29 years,6.7%,6.9%,6.5%
8,    30 to 34 years,6.5%,6.5%,6.5%
9,    35 to 39 years,6.5%,6.4%,6.7%
10,    40 to 44 years,6.7%,6.9%,6.6%
11,    45 to 49 years,6.8%,6.9%,6.8%
12,    50 to 54 years,6.5%,6.5%,6.5%
13,    55 to 59 years,5.7%,5.6%,5.7%
14,    60 to 64 years,4.4%,4.2%,4.6%
15,    65 to 69 years,3.2%,3.0%,3.4%
16,    70 to 74 years,2.5%,2.2%,2.7%
17,    75 to 79 years,1.9%,1.7%,2.1%
18,    80 to 84 years,1.5%,1.1%,1.8%
19,    85 years and over,1.5%,1.0%,1.9%
