,Label (Grouping),"San Joaquin County, California!!Total!!Estimate","San Joaquin County, California!!Male!!Estimate","San Joaquin County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,7.7%,7.9%,7.6%
3,    5 to 9 years,8.0%,8.2%,7.9%
4,    10 to 14 years,8.1%,8.5%,7.7%
5,    15 to 19 years,7.9%,8.3%,7.6%
6,    20 to 24 years,7.4%,7.7%,7.2%
7,    25 to 29 years,6.7%,6.9%,6.5%
8,    30 to 34 years,6.6%,6.6%,6.6%
9,    35 to 39 years,6.6%,6.5%,6.8%
10,    40 to 44 years,6.4%,6.5%,6.2%
11,    45 to 49 years,6.5%,6.6%,6.4%
12,    50 to 54 years,6.5%,6.5%,6.6%
13,    55 to 59 years,5.4%,5.4%,5.5%
14,    60 to 64 years,5.0%,4.8%,5.1%
15,    65 to 69 years,3.5%,3.4%,3.5%
16,    70 to 74 years,2.7%,2.3%,3.0%
17,    75 to 79 years,2.1%,1.9%,2.3%
18,    80 to 84 years,1.4%,1.2%,1.6%
19,    85 years and over,1.4%,0.8%,1.9%
