,Label (Grouping),"Tehama County, California!!Total!!Estimate","Tehama County, California!!Male!!Estimate","Tehama County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,6.8%,7.0%,6.6%
3,    5 to 9 years,6.7%,6.5%,6.8%
4,    10 to 14 years,7.2%,7.7%,6.7%
5,    15 to 19 years,7.3%,7.4%,7.2%
6,    20 to 24 years,5.8%,6.1%,5.5%
7,    25 to 29 years,5.8%,6.1%,5.5%
8,    30 to 34 years,5.5%,5.7%,5.3%
9,    35 to 39 years,5.4%,5.1%,5.8%
10,    40 to 44 years,6.2%,6.6%,5.8%
11,    45 to 49 years,7.1%,7.1%,7.0%
12,    50 to 54 years,7.2%,7.1%,7.3%
13,    55 to 59 years,7.2%,7.1%,7.3%
14,    60 to 64 years,5.8%,5.6%,6.0%
15,    65 to 69 years,5.1%,4.8%,5.4%
16,    70 to 74 years,4.0%,4.0%,4.1%
17,    75 to 79 years,3.2%,3.1%,3.2%
18,    80 to 84 years,1.9%,1.4%,2.5%
19,    85 years and over,1.8%,1.6%,2.0%
