,Label (Grouping),"Tulare County, California!!Total!!Estimate","Tulare County, California!!Male!!Estimate","Tulare County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,8.7%,8.9%,8.5%
3,    5 to 9 years,9.0%,9.2%,8.8%
4,    10 to 14 years,8.7%,8.9%,8.6%
5,    15 to 19 years,8.2%,8.4%,8.0%
6,    20 to 24 years,7.6%,7.9%,7.4%
7,    25 to 29 years,7.1%,7.2%,7.0%
8,    30 to 34 years,6.9%,7.0%,6.9%
9,    35 to 39 years,6.0%,6.2%,5.8%
10,    40 to 44 years,6.3%,6.2%,6.4%
11,    45 to 49 years,5.8%,5.8%,5.7%
12,    50 to 54 years,5.7%,5.6%,5.7%
13,    55 to 59 years,5.1%,5.0%,5.2%
14,    60 to 64 years,4.5%,4.4%,4.6%
15,    65 to 69 years,3.6%,3.4%,3.8%
16,    70 to 74 years,2.4%,2.3%,2.5%
17,    75 to 79 years,1.8%,1.7%,1.9%
18,    80 to 84 years,1.3%,1.1%,1.5%
19,    85 years and over,1.3%,0.9%,1.7%
