,Label (Grouping),"Yuba County, California!!Total!!Estimate","Yuba County, California!!Male!!Estimate","Yuba County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,8.5%,8.9%,8.2%
3,    5 to 9 years,7.9%,8.2%,7.6%
4,    10 to 14 years,7.9%,8.0%,7.9%
5,    15 to 19 years,7.5%,7.9%,7.1%
6,    20 to 24 years,7.5%,7.5%,7.6%
7,    25 to 29 years,7.7%,7.7%,7.7%
8,    30 to 34 years,7.1%,7.3%,7.0%
9,    35 to 39 years,5.9%,6.0%,5.8%
10,    40 to 44 years,6.2%,6.1%,6.3%
11,    45 to 49 years,6.6%,6.5%,6.7%
12,    50 to 54 years,6.5%,6.4%,6.6%
13,    55 to 59 years,5.3%,5.5%,5.1%
14,    60 to 64 years,5.2%,4.9%,5.5%
15,    65 to 69 years,3.2%,3.3%,3.2%
16,    70 to 74 years,2.5%,2.3%,2.7%
17,    75 to 79 years,1.5%,1.7%,1.4%
18,    80 to 84 years,1.7%,1.2%,2.3%
19,    85 years and over,1.1%,0.8%,1.4%
