,Label (Grouping),"San Luis Obispo County, California!!Total!!Estimate","San Luis Obispo County, California!!Male!!Estimate","San Luis Obispo County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,5.0%,4.9%,5.0%
3,    5 to 9 years,4.8%,4.6%,5.1%
4,    10 to 14 years,5.5%,5.6%,5.3%
5,    15 to 19 years,8.2%,8.5%,7.9%
6,    20 to 24 years,10.4%,11.5%,9.3%
7,    25 to 29 years,6.2%,6.7%,5.7%
8,    30 to 34 years,5.5%,5.9%,5.0%
9,    35 to 39 years,5.2%,5.2%,5.1%
10,    40 to 44 years,5.8%,6.0%,5.5%
11,    45 to 49 years,6.9%,7.0%,6.8%
12,    50 to 54 years,7.5%,7.3%,7.8%
13,    55 to 59 years,7.3%,7.0%,7.6%
14,    60 to 64 years,6.4%,6.2%,6.5%
15,    65 to 69 years,4.6%,4.3%,4.8%
16,    70 to 74 years,3.4%,3.1%,3.7%
17,    75 to 79 years,2.7%,2.4%,3.0%
18,    80 to 84 years,2.2%,1.8%,2.6%
19,    85 years and over,2.5%,1.8%,3.1%
