,Label (Grouping),"Shasta County, California!!Total!!Estimate","Shasta County, California!!Male!!Estimate","Shasta County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,5.8%,6.0%,5.7%
3,    5 to 9 years,6.1%,6.1%,6.2%
4,    10 to 14 years,5.9%,6.4%,5.3%
5,    15 to 19 years,6.1%,6.5%,5.7%
6,    20 to 24 years,6.2%,6.4%,6.1%
7,    25 to 29 years,6.2%,6.6%,5.8%
8,    30 to 34 years,6.0%,6.1%,5.8%
9,    35 to 39 years,5.4%,5.6%,5.2%
10,    40 to 44 years,5.1%,5.1%,5.2%
11,    45 to 49 years,6.0%,5.9%,6.0%
12,    50 to 54 years,7.2%,7.0%,7.4%
13,    55 to 59 years,7.4%,7.2%,7.6%
14,    60 to 64 years,7.3%,7.1%,7.4%
15,    65 to 69 years,6.5%,6.6%,6.5%
16,    70 to 74 years,4.7%,4.4%,4.9%
17,    75 to 79 years,3.1%,3.1%,3.1%
18,    80 to 84 years,2.5%,2.4%,2.6%
19,    85 years and over,2.5%,1.5%,3.4%
