,Label (Grouping),"Santa Clara County, California!!Total!!Estimate","Santa Clara County, California!!Male!!Estimate","Santa Clara County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,6.4%,6.5%,6.3%
3,    5 to 9 years,6.7%,6.8%,6.5%
4,    10 to 14 years,6.4%,6.4%,6.4%
5,    15 to 19 years,6.0%,6.1%,5.9%
6,    20 to 24 years,6.4%,6.7%,6.1%
7,    25 to 29 years,7.6%,8.0%,7.2%
8,    30 to 34 years,7.8%,8.0%,7.6%
9,    35 to 39 years,7.4%,7.4%,7.3%
10,    40 to 44 years,7.6%,7.6%,7.5%
11,    45 to 49 years,7.2%,7.3%,7.2%
12,    50 to 54 years,7.1%,7.2%,7.0%
13,    55 to 59 years,6.2%,6.2%,6.3%
14,    60 to 64 years,5.0%,4.8%,5.3%
15,    65 to 69 years,3.9%,3.7%,4.1%
16,    70 to 74 years,2.9%,2.6%,3.2%
17,    75 to 79 years,2.1%,1.9%,2.4%
18,    80 to 84 years,1.6%,1.4%,1.8%
19,    85 years and over,1.7%,1.2%,2.2%
