,Label (Grouping),"Alpine County, California!!Total!!Estimate","Alpine County, California!!Male!!Estimate","Alpine County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,4.3%,4.8%,3.7%
3,    5 to 9 years,4.9%,4.9%,4.9%
4,    10 to 14 years,6.3%,6.5%,6.1%
5,    15 to 19 years,10.9%,12.9%,8.1%
6,    20 to 24 years,6.8%,8.4%,4.7%
7,    25 to 29 years,5.0%,4.8%,5.3%
8,    30 to 34 years,4.0%,3.5%,4.7%
9,    35 to 39 years,4.5%,4.6%,4.3%
10,    40 to 44 years,6.7%,5.3%,8.5%
11,    45 to 49 years,3.5%,2.7%,4.5%
12,    50 to 54 years,7.4%,7.7%,7.1%
13,    55 to 59 years,8.0%,6.5%,10.2%
14,    60 to 64 years,6.9%,7.8%,5.7%
15,    65 to 69 years,8.5%,7.7%,9.8%
16,    70 to 74 years,4.1%,2.6%,6.3%
17,    75 to 79 years,2.5%,2.9%,2.0%
18,    80 to 84 years,4.5%,6.4%,1.8%
19,    85 years and over,1.1%,0.1%,2.4%
