,Label (Grouping),"Imperial County, California!!Total!!Estimate","Imperial County, California!!Male!!Estimate","Imperial County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,8.3%,8.3%,8.3%
3,    5 to 9 years,7.7%,9.3%,6.1%
4,    10 to 14 years,7.8%,6.7%,9.0%
5,    15 to 19 years,7.9%,7.7%,8.2%
6,    20 to 24 years,7.8%,8.3%,7.2%
7,    25 to 29 years,7.4%,8.5%,6.3%
8,    30 to 34 years,7.0%,7.8%,6.1%
9,    35 to 39 years,6.0%,5.7%,6.2%
10,    40 to 44 years,5.9%,6.4%,5.3%
11,    45 to 49 years,5.7%,5.5%,5.9%
12,    50 to 54 years,5.5%,5.1%,6.0%
13,    55 to 59 years,5.2%,5.0%,5.4%
14,    60 to 64 years,5.0%,4.6%,5.5%
15,    65 to 69 years,3.7%,3.5%,3.9%
16,    70 to 74 years,3.3%,2.8%,3.9%
17,    75 to 79 years,2.6%,2.1%,3.1%
18,    80 to 84 years,1.4%,1.3%,1.4%
19,    85 years and over,1.8%,1.4%,2.3%
