,Label (Grouping),"Sacramento County, California!!Total!!Estimate","Sacramento County, California!!Male!!Estimate","Sacramento County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,6.6%,6.8%,6.3%
3,    5 to 9 years,6.4%,6.6%,6.2%
4,    10 to 14 years,7.0%,7.4%,6.7%
5,    15 to 19 years,6.2%,6.5%,6.0%
6,    20 to 24 years,6.6%,6.9%,6.2%
7,    25 to 29 years,8.0%,8.2%,7.9%
8,    30 to 34 years,7.5%,7.6%,7.4%
9,    35 to 39 years,6.7%,6.7%,6.6%
10,    40 to 44 years,6.3%,6.4%,6.2%
11,    45 to 49 years,6.5%,6.5%,6.4%
12,    50 to 54 years,6.4%,6.5%,6.4%
13,    55 to 59 years,6.3%,6.2%,6.4%
14,    60 to 64 years,5.8%,5.5%,6.1%
15,    65 to 69 years,4.7%,4.3%,5.0%
16,    70 to 74 years,3.2%,3.1%,3.4%
17,    75 to 79 years,2.3%,2.0%,2.6%
18,    80 to 84 years,1.5%,1.3%,1.8%
19,    85 years and over,1.8%,1.4%,2.3%
