,Label (Grouping),United States!!Total!!Estimate,United States!!Male!!Estimate,United States!!Female!!Estimate
1,AGE,,,
2,    Under 5 years,6.5%,6.8%,6.3%
3,    5 to 9 years,6.6%,6.8%,6.3%
4,    10 to 14 years,6.7%,7.0%,6.4%
5,    15 to 19 years,7.1%,7.4%,6.8%
6,    20 to 24 years,7.0%,7.3%,6.8%
7,    25 to 29 years,6.8%,7.0%,6.7%
8,    30 to 34 years,6.5%,6.6%,6.4%
9,    35 to 39 years,6.5%,6.6%,6.4%
10,    40 to 44 years,6.8%,6.9%,6.8%
11,    45 to 49 years,7.3%,7.3%,7.2%
12,    50 to 54 years,7.2%,7.2%,7.2%
13,    55 to 59 years,6.4%,6.3%,6.5%
14,    60 to 64 years,5.5%,5.3%,5.6%
15,    65 to 69 years,4.1%,3.9%,4.2%
16,    70 to 74 years,3.1%,2.8%,3.3%
17,    75 to 79 years,2.4%,2.1%,2.7%
18,    80 to 84 years,1.9%,1.5%,2.2%
19,    85 years and over,1.8%,1.2%,2.4%
