,Label (Grouping),"Calaveras County, California!!Total!!Estimate","Calaveras County, California!!Male!!Estimate","Calaveras County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,4.0%,4.1%,4.0%
3,    5 to 9 years,5.1%,5.5%,4.8%
4,    10 to 14 years,5.8%,6.1%,5.5%
5,    15 to 19 years,6.4%,6.9%,5.9%
6,    20 to 24 years,4.4%,4.8%,4.1%
7,    25 to 29 years,3.9%,4.0%,3.9%
8,    30 to 34 years,3.6%,3.6%,3.5%
9,    35 to 39 years,3.6%,3.5%,3.6%
10,    40 to 44 years,6.5%,6.3%,6.7%
11,    45 to 49 years,7.4%,7.4%,7.5%
12,    50 to 54 years,9.0%,8.5%,9.5%
13,    55 to 59 years,9.4%,9.1%,9.8%
14,    60 to 64 years,9.1%,9.1%,9.2%
15,    65 to 69 years,7.6%,7.3%,7.8%
16,    70 to 74 years,5.5%,5.5%,5.5%
17,    75 to 79 years,3.7%,3.5%,4.0%
18,    80 to 84 years,2.2%,2.5%,1.9%
19,    85 years and over,2.5%,2.3%,2.8%
