,Label (Grouping),"Mendocino County, California!!Total!!Estimate","Mendocino County, California!!Male!!Estimate","Mendocino County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,5.9%,6.1%,5.7%
3,    5 to 9 years,6.4%,6.3%,6.5%
4,    10 to 14 years,5.7%,6.1%,5.3%
5,    15 to 19 years,6.0%,6.4%,5.7%
6,    20 to 24 years,5.4%,5.7%,5.1%
7,    25 to 29 years,5.6%,6.0%,5.2%
8,    30 to 34 years,6.1%,6.2%,5.9%
9,    35 to 39 years,6.2%,6.8%,5.5%
10,    40 to 44 years,5.5%,5.1%,5.9%
11,    45 to 49 years,5.7%,5.8%,5.7%
12,    50 to 54 years,6.8%,6.7%,7.0%
13,    55 to 59 years,7.2%,6.9%,7.5%
14,    60 to 64 years,8.5%,8.2%,8.8%
15,    65 to 69 years,7.4%,7.0%,7.7%
16,    70 to 74 years,4.4%,4.5%,4.3%
17,    75 to 79 years,2.9%,3.0%,2.8%
18,    80 to 84 years,1.8%,1.4%,2.3%
19,    85 years and over,2.4%,1.7%,3.1%
