,Label (Grouping),"Riverside County, California!!Total!!Estimate","Riverside County, California!!Male!!Estimate","Riverside County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,7.2%,7.3%,7.0%
3,    5 to 9 years,7.5%,7.5%,7.4%
4,    10 to 14 years,7.8%,8.1%,7.5%
5,    15 to 19 years,8.1%,8.3%,7.9%
6,    20 to 24 years,7.5%,7.8%,7.3%
7,    25 to 29 years,6.6%,6.8%,6.4%
8,    30 to 34 years,6.5%,6.6%,6.4%
9,    35 to 39 years,6.6%,6.5%,6.6%
10,    40 to 44 years,6.5%,6.5%,6.5%
11,    45 to 49 years,6.6%,6.7%,6.5%
12,    50 to 54 years,6.5%,6.6%,6.4%
13,    55 to 59 years,5.5%,5.3%,5.7%
14,    60 to 64 years,4.8%,4.7%,4.8%
15,    65 to 69 years,4.0%,3.8%,4.3%
16,    70 to 74 years,2.9%,2.7%,3.0%
17,    75 to 79 years,2.3%,2.0%,2.5%
18,    80 to 84 years,1.7%,1.7%,1.8%
19,    85 years and over,1.5%,1.0%,1.9%
