,Label (Grouping),"Nevada County, California!!Total!!Estimate","Nevada County, California!!Male!!Estimate","Nevada County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,4.4%,4.9%,3.8%
3,    5 to 9 years,4.1%,4.4%,3.7%
4,    10 to 14 years,5.5%,5.6%,5.4%
5,    15 to 19 years,6.6%,6.5%,6.7%
6,    20 to 24 years,4.6%,5.1%,4.1%
7,    25 to 29 years,4.3%,4.3%,4.3%
8,    30 to 34 years,4.8%,5.5%,4.2%
9,    35 to 39 years,5.2%,5.4%,5.0%
10,    40 to 44 years,5.2%,5.8%,4.7%
11,    45 to 49 years,7.2%,6.9%,7.4%
12,    50 to 54 years,8.2%,7.6%,8.9%
13,    55 to 59 years,8.8%,7.9%,9.6%
14,    60 to 64 years,10.0%,10.3%,9.6%
15,    65 to 69 years,7.1%,6.8%,7.4%
16,    70 to 74 years,5.2%,5.6%,4.8%
17,    75 to 79 years,3.1%,2.9%,3.2%
18,    80 to 84 years,2.9%,2.1%,3.7%
19,    85 years and over,2.9%,2.5%,3.3%
