,Label (Grouping),"Stanislaus County, California!!Total!!Estimate","Stanislaus County, California!!Male!!Estimate","Stanislaus County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,7.3%,7.5%,7.1%
3,    5 to 9 years,7.3%,7.2%,7.5%
4,    10 to 14 years,8.0%,8.7%,7.3%
5,    15 to 19 years,7.2%,7.2%,7.3%
6,    20 to 24 years,6.9%,7.2%,6.5%
7,    25 to 29 years,7.5%,7.6%,7.4%
8,    30 to 34 years,7.0%,7.2%,6.8%
9,    35 to 39 years,6.4%,6.5%,6.4%
10,    40 to 44 years,5.9%,6.0%,5.9%
11,    45 to 49 years,6.1%,6.2%,6.0%
12,    50 to 54 years,6.2%,6.2%,6.3%
13,    55 to 59 years,5.9%,5.7%,6.2%
14,    60 to 64 years,5.3%,5.4%,5.2%
15,    65 to 69 years,3.9%,4.1%,3.8%
16,    70 to 74 years,3.5%,3.0%,4.0%
17,    75 to 79 years,2.3%,2.1%,2.6%
18,    80 to 84 years,1.5%,1.3%,1.7%
19,    85 years and over,1.5%,1.0%,1.9%
