,Label (Grouping),"Santa Cruz County, California!!Total!!Estimate","Santa Cruz County, California!!Male!!Estimate","Santa Cruz County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,5.6%,5.9%,5.4%
3,    5 to 9 years,5.3%,5.1%,5.5%
4,    10 to 14 years,6.3%,6.9%,5.6%
5,    15 to 19 years,8.5%,8.4%,8.5%
6,    20 to 24 years,9.8%,10.0%,9.6%
7,    25 to 29 years,6.0%,6.4%,5.6%
8,    30 to 34 years,6.1%,6.3%,6.0%
9,    35 to 39 years,5.7%,5.8%,5.7%
10,    40 to 44 years,6.7%,6.7%,6.7%
11,    45 to 49 years,6.5%,6.8%,6.3%
12,    50 to 54 years,7.2%,7.1%,7.3%
13,    55 to 59 years,8.1%,7.7%,8.6%
14,    60 to 64 years,5.9%,6.3%,5.6%
15,    65 to 69 years,4.8%,4.5%,5.2%
16,    70 to 74 years,2.2%,2.1%,2.2%
17,    75 to 79 years,1.7%,1.3%,2.0%
18,    80 to 84 years,1.5%,1.1%,1.8%
19,    85 years and over,2.0%,1.7%,2.3%
