,Label (Grouping),"Alpine County, California!!Total!!Estimate","Alpine County, California!!Male!!Estimate","Alpine County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,5.0%,8.5%,0.6%
3,    5 to 9 years,8.0%,7.0%,9.3%
4,    10 to 14 years,3.6%,3.6%,3.6%
5,    15 to 19 years,9.1%,9.6%,8.5%
6,    20 to 24 years,7.4%,4.2%,11.4%
7,    25 to 29 years,2.9%,3.3%,2.5%
8,    30 to 34 years,4.2%,2.4%,6.4%
9,    35 to 39 years,3.0%,4.6%,0.9%
10,    40 to 44 years,10.4%,13.9%,6.1%
11,    45 to 49 years,6.4%,2.8%,11.0%
12,    50 to 54 years,7.9%,7.3%,8.5%
13,    55 to 59 years,12.1%,14.5%,9.1%
14,    60 to 64 years,7.7%,6.9%,8.7%
15,    65 to 69 years,4.0%,3.1%,5.1%
16,    70 to 74 years,3.3%,1.9%,4.9%
17,    75 to 79 years,3.2%,4.5%,1.5%
18,    80 to 84 years,1.4%,1.0%,1.9%
19,    85 years and over,0.4%,0.7%,0.0%
