,Label (Grouping),"Los Angeles County, California!!Total!!Estimate","Los Angeles County, California!!Male!!Estimate","Los Angeles County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,6.6%,6.9%,6.4%
3,    5 to 9 years,6.4%,6.7%,6.2%
4,    10 to 14 years,6.9%,7.1%,6.7%
5,    15 to 19 years,7.6%,7.8%,7.3%
6,    20 to 24 years,7.7%,8.0%,7.4%
7,    25 to 29 years,7.8%,8.1%,7.5%
8,    30 to 34 years,7.3%,7.5%,7.2%
9,    35 to 39 years,7.2%,7.3%,7.1%
10,    40 to 44 years,7.4%,7.5%,7.2%
11,    45 to 49 years,7.1%,7.2%,7.1%
12,    50 to 54 years,6.7%,6.7%,6.8%
13,    55 to 59 years,5.7%,5.5%,5.9%
14,    60 to 64 years,4.6%,4.4%,4.8%
15,    65 to 69 years,3.3%,3.1%,3.6%
16,    70 to 74 years,2.5%,2.3%,2.8%
17,    75 to 79 years,2.0%,1.7%,2.2%
18,    80 to 84 years,1.6%,1.3%,1.9%
19,    85 years and over,1.6%,1.1%,2.0%
