,Label (Grouping),"Imperial County, California!!Total!!Estimate","Imperial County, California!!Male!!Estimate","Imperial County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,8.0%,7.9%,8.0%
3,    5 to 9 years,8.0%,7.7%,8.3%
4,    10 to 14 years,8.0%,8.3%,7.6%
5,    15 to 19 years,8.6%,8.7%,8.5%
6,    20 to 24 years,7.8%,8.4%,7.1%
7,    25 to 29 years,7.1%,7.8%,6.4%
8,    30 to 34 years,6.6%,7.1%,6.1%
9,    35 to 39 years,6.2%,6.7%,5.7%
10,    40 to 44 years,6.8%,6.6%,7.0%
11,    45 to 49 years,6.6%,6.5%,6.7%
12,    50 to 54 years,6.3%,6.1%,6.5%
13,    55 to 59 years,5.7%,5.2%,6.1%
14,    60 to 64 years,3.9%,3.6%,4.1%
15,    65 to 69 years,3.2%,2.9%,3.5%
16,    70 to 74 years,2.5%,2.1%,2.8%
17,    75 to 79 years,2.1%,2.0%,2.3%
18,    80 to 84 years,1.6%,1.3%,1.8%
19,    85 years and over,1.2%,1.0%,1.5%
