,Label (Grouping),"Marin County, California!!Total!!Estimate","Marin County, California!!Male!!Estimate","Marin County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,5.5%,5.7%,5.3%
3,    5 to 9 years,5.9%,6.0%,5.9%
4,    10 to 14 years,5.8%,6.1%,5.5%
5,    15 to 19 years,5.2%,5.4%,4.9%
6,    20 to 24 years,4.1%,4.6%,3.5%
7,    25 to 29 years,4.6%,5.1%,4.1%
8,    30 to 34 years,5.1%,5.4%,4.9%
9,    35 to 39 years,6.5%,6.5%,6.5%
10,    40 to 44 years,7.9%,8.1%,7.7%
11,    45 to 49 years,8.3%,8.4%,8.2%
12,    50 to 54 years,8.4%,8.3%,8.5%
13,    55 to 59 years,8.3%,8.1%,8.6%
14,    60 to 64 years,7.5%,7.2%,7.8%
15,    65 to 69 years,5.6%,5.3%,5.9%
16,    70 to 74 years,3.7%,3.7%,3.7%
17,    75 to 79 years,2.8%,2.4%,3.1%
18,    80 to 84 years,2.4%,2.0%,2.8%
19,    85 years and over,2.5%,1.8%,3.1%
