,Label (Grouping),"Kern County, California!!Total!!Estimate","Kern County, California!!Male!!Estimate","Kern County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,8.6%,8.6%,8.7%
3,    5 to 9 years,8.3%,8.3%,8.3%
4,    10 to 14 years,8.0%,7.9%,8.2%
5,    15 to 19 years,8.0%,8.2%,7.9%
6,    20 to 24 years,8.2%,8.5%,7.9%
7,    25 to 29 years,7.6%,8.1%,7.0%
8,    30 to 34 years,7.0%,7.4%,6.5%
9,    35 to 39 years,7.0%,6.9%,7.0%
10,    40 to 44 years,5.8%,5.9%,5.6%
11,    45 to 49 years,6.2%,6.2%,6.1%
12,    50 to 54 years,6.3%,6.2%,6.3%
13,    55 to 59 years,5.1%,4.9%,5.3%
14,    60 to 64 years,4.6%,4.4%,4.8%
15,    65 to 69 years,3.3%,2.9%,3.7%
16,    70 to 74 years,2.2%,2.3%,2.2%
17,    75 to 79 years,1.6%,1.4%,1.9%
18,    80 to 84 years,1.1%,0.8%,1.5%
19,    85 years and over,1.1%,1.0%,1.2%
