,Label (Grouping),"Santa Barbara County, California!!Total!!Estimate","Santa Barbara County, California!!Male!!Estimate","Santa Barbara County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,6.5%,6.6%,6.3%
3,    5 to 9 years,6.1%,6.4%,5.9%
4,    10 to 14 years,6.2%,6.0%,6.3%
5,    15 to 19 years,8.5%,8.5%,8.6%
6,    20 to 24 years,11.2%,11.7%,10.7%
7,    25 to 29 years,6.7%,7.2%,6.2%
8,    30 to 34 years,6.5%,6.8%,6.1%
9,    35 to 39 years,5.7%,6.0%,5.4%
10,    40 to 44 years,5.6%,5.8%,5.5%
11,    45 to 49 years,5.7%,5.8%,5.7%
12,    50 to 54 years,6.1%,6.0%,6.2%
13,    55 to 59 years,5.9%,5.8%,6.1%
14,    60 to 64 years,5.2%,5.1%,5.3%
15,    65 to 69 years,4.3%,4.2%,4.4%
16,    70 to 74 years,3.1%,2.7%,3.5%
17,    75 to 79 years,2.4%,2.1%,2.7%
18,    80 to 84 years,1.9%,1.6%,2.3%
19,    85 years and over,2.3%,1.8%,2.8%
