,Label (Grouping),"Santa Barbara County, California!!Total!!Estimate","Santa Barbara County, California!!Male!!Estimate","Santa Barbara County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,6.5%,6.6%,6.4%
3,    5 to 9 years,6.1%,6.4%,5.9%
4,    10 to 14 years,6.2%,6.2%,6.3%
5,    15 to 19 years,8.9%,9.0%,8.9%
6,    20 to 24 years,10.5%,11.1%,10.0%
7,    25 to 29 years,7.0%,7.5%,6.5%
8,    30 to 34 years,6.3%,6.7%,6.0%
9,    35 to 39 years,5.9%,6.1%,5.6%
10,    40 to 44 years,6.0%,6.1%,6.0%
11,    45 to 49 years,6.4%,6.4%,6.4%
12,    50 to 54 years,6.5%,6.4%,6.5%
13,    55 to 59 years,5.7%,5.5%,6.0%
14,    60 to 64 years,4.9%,4.8%,5.0%
15,    65 to 69 years,3.6%,3.5%,3.8%
16,    70 to 74 years,2.7%,2.4%,3.1%
17,    75 to 79 years,2.4%,2.0%,2.8%
18,    80 to 84 years,1.8%,1.5%,2.2%
19,    85 years and over,2.3%,1.8%,2.9%
