,Label (Grouping),"Stanislaus County, California!!Total!!Estimate","Stanislaus County, California!!Male!!Estimate","Stanislaus County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,7.4%,7.6%,7.1%
3,    5 to 9 years,7.5%,7.5%,7.4%
4,    10 to 14 years,7.9%,8.4%,7.5%
5,    15 to 19 years,7.5%,7.8%,7.2%
6,    20 to 24 years,7.3%,7.5%,7.1%
7,    25 to 29 years,7.2%,7.4%,7.1%
8,    30 to 34 years,6.8%,6.9%,6.7%
9,    35 to 39 years,6.2%,6.3%,6.2%
10,    40 to 44 years,6.4%,6.5%,6.3%
11,    45 to 49 years,6.3%,6.3%,6.2%
12,    50 to 54 years,6.5%,6.4%,6.5%
13,    55 to 59 years,5.9%,5.7%,6.2%
14,    60 to 64 years,5.0%,5.0%,5.0%
15,    65 to 69 years,4.0%,3.7%,4.3%
16,    70 to 74 years,3.0%,2.8%,3.2%
17,    75 to 79 years,2.1%,1.8%,2.3%
18,    80 to 84 years,1.5%,1.3%,1.8%
19,    85 years and over,1.6%,1.2%,1.9%
