,Label (Grouping),"Contra Costa County, California!!Total!!Estimate","Contra Costa County, California!!Male!!Estimate","Contra Costa County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,6.4%,6.6%,6.1%
3,    5 to 9 years,6.9%,7.2%,6.7%
4,    10 to 14 years,7.0%,7.4%,6.6%
5,    15 to 19 years,7.0%,7.4%,6.6%
6,    20 to 24 years,5.8%,6.1%,5.5%
7,    25 to 29 years,6.1%,6.3%,6.0%
8,    30 to 34 years,6.2%,6.2%,6.2%
9,    35 to 39 years,6.7%,6.5%,6.9%
10,    40 to 44 years,7.5%,7.6%,7.4%
11,    45 to 49 years,7.9%,7.9%,7.9%
12,    50 to 54 years,7.6%,7.6%,7.6%
13,    55 to 59 years,6.6%,6.3%,6.9%
14,    60 to 64 years,5.7%,5.7%,5.6%
15,    65 to 69 years,4.0%,3.8%,4.1%
16,    70 to 74 years,2.9%,2.7%,3.1%
17,    75 to 79 years,2.2%,1.9%,2.4%
18,    80 to 84 years,1.7%,1.4%,2.0%
19,    85 years and over,1.9%,1.3%,2.4%
