,Label (Grouping),"Yolo County, California!!Total!!Estimate","Yolo County, California!!Male!!Estimate","Yolo County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,5.9%,6.2%,5.6%
3,    5 to 9 years,6.1%,6.5%,5.7%
4,    10 to 14 years,6.0%,6.1%,5.9%
5,    15 to 19 years,9.2%,9.0%,9.4%
6,    20 to 24 years,14.5%,14.1%,14.9%
7,    25 to 29 years,7.0%,7.5%,6.5%
8,    30 to 34 years,6.5%,6.7%,6.3%
9,    35 to 39 years,5.7%,5.6%,5.7%
10,    40 to 44 years,5.9%,6.2%,5.7%
11,    45 to 49 years,5.7%,5.8%,5.7%
12,    50 to 54 years,5.7%,5.7%,5.8%
13,    55 to 59 years,5.4%,5.7%,5.2%
14,    60 to 64 years,5.0%,4.5%,5.4%
15,    65 to 69 years,3.8%,3.7%,3.8%
16,    70 to 74 years,2.7%,2.4%,2.9%
17,    75 to 79 years,1.9%,1.7%,2.1%
18,    80 to 84 years,1.3%,1.2%,1.5%
19,    85 years and over,1.7%,1.3%,2.1%
