,Label (Grouping),"Shasta County, California!!Total!!Estimate","Shasta County, California!!Male!!Estimate","Shasta County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,5.8%,6.1%,5.5%
3,    5 to 9 years,5.8%,6.5%,5.1%
4,    10 to 14 years,6.6%,6.5%,6.6%
5,    15 to 19 years,7.0%,7.5%,6.4%
6,    20 to 24 years,6.3%,6.5%,6.1%
7,    25 to 29 years,5.9%,6.0%,5.8%
8,    30 to 34 years,5.3%,5.4%,5.3%
9,    35 to 39 years,5.1%,5.1%,5.1%
10,    40 to 44 years,6.1%,6.2%,6.0%
11,    45 to 49 years,7.0%,6.8%,7.3%
12,    50 to 54 years,7.7%,7.5%,7.8%
13,    55 to 59 years,7.5%,7.4%,7.6%
14,    60 to 64 years,6.9%,6.8%,7.0%
15,    65 to 69 years,5.4%,5.3%,5.6%
16,    70 to 74 years,4.1%,4.0%,4.1%
17,    75 to 79 years,2.8%,2.7%,3.0%
18,    80 to 84 years,2.5%,2.2%,2.8%
19,    85 years and over,2.3%,1.5%,3.0%
