,Label (Grouping),"San Benito County, California!!Total!!Estimate","San Benito County, California!!Male!!Estimate","San Benito County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,6.8%,6.9%,6.6%
3,    5 to 9 years,7.4%,6.7%,8.1%
4,    10 to 14 years,8.0%,8.8%,7.2%
5,    15 to 19 years,7.7%,7.9%,7.5%
6,    20 to 24 years,7.0%,7.2%,6.7%
7,    25 to 29 years,6.5%,6.6%,6.3%
8,    30 to 34 years,6.6%,6.8%,6.4%
9,    35 to 39 years,6.4%,6.3%,6.4%
10,    40 to 44 years,6.6%,6.6%,6.5%
11,    45 to 49 years,7.0%,6.7%,7.3%
12,    50 to 54 years,7.2%,7.1%,7.2%
13,    55 to 59 years,6.4%,6.9%,5.9%
14,    60 to 64 years,5.4%,5.0%,5.9%
15,    65 to 69 years,3.8%,3.7%,3.9%
16,    70 to 74 years,2.9%,2.9%,2.9%
17,    75 to 79 years,1.9%,1.7%,2.1%
18,    80 to 84 years,1.2%,1.3%,1.2%
19,    85 years and over,1.5%,0.9%,2.0%
