,Label (Grouping),"Yolo County, California!!Total!!Estimate","Yolo County, California!!Male!!Estimate","Yolo County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,5.8%,5.8%,5.8%
3,    5 to 9 years,6.4%,6.6%,6.3%
4,    10 to 14 years,5.4%,5.7%,5.2%
5,    15 to 19 years,9.4%,8.9%,9.8%
6,    20 to 24 years,13.8%,13.3%,14.4%
7,    25 to 29 years,7.5%,8.3%,6.8%
8,    30 to 34 years,6.3%,6.5%,6.1%
9,    35 to 39 years,6.9%,7.5%,6.3%
10,    40 to 44 years,5.2%,5.3%,5.1%
11,    45 to 49 years,5.3%,5.4%,5.3%
12,    50 to 54 years,5.3%,5.3%,5.4%
13,    55 to 59 years,5.6%,6.1%,5.1%
14,    60 to 64 years,5.0%,4.3%,5.6%
15,    65 to 69 years,4.5%,4.6%,4.4%
16,    70 to 74 years,2.5%,2.3%,2.7%
17,    75 to 79 years,1.8%,1.6%,2.0%
18,    80 to 84 years,1.4%,1.2%,1.7%
19,    85 years and over,1.8%,1.3%,2.2%
