,Label (Grouping),"Kings County, California!!Total!!Estimate","Kings County, California!!Male!!Estimate","Kings County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,8.0%,7.3%,8.8%
3,    5 to 9 years,7.9%,7.4%,8.6%
4,    10 to 14 years,7.3%,6.5%,8.3%
5,    15 to 19 years,7.1%,6.4%,7.8%
6,    20 to 24 years,8.7%,9.4%,7.7%
7,    25 to 29 years,8.7%,9.5%,7.7%
8,    30 to 34 years,7.9%,8.5%,7.2%
9,    35 to 39 years,7.8%,8.3%,7.2%
10,    40 to 44 years,6.0%,6.8%,4.9%
11,    45 to 49 years,6.4%,7.0%,5.6%
12,    50 to 54 years,6.1%,6.3%,5.8%
13,    55 to 59 years,5.2%,5.2%,5.1%
14,    60 to 64 years,4.0%,3.7%,4.2%
15,    65 to 69 years,3.1%,2.7%,3.6%
16,    70 to 74 years,2.2%,2.0%,2.4%
17,    75 to 79 years,1.6%,1.4%,1.8%
18,    80 to 84 years,1.2%,0.9%,1.6%
19,    85 years and over,1.1%,0.6%,1.7%
