,Label (Grouping),"Santa Barbara County, California!!Total!!Estimate","Santa Barbara County, California!!Male!!Estimate","Santa Barbara County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,6.5%,6.5%,6.5%
3,    5 to 9 years,6.3%,6.6%,6.0%
4,    10 to 14 years,6.0%,6.0%,6.0%
5,    15 to 19 years,8.7%,8.9%,8.6%
6,    20 to 24 years,10.8%,11.2%,10.4%
7,    25 to 29 years,6.9%,7.4%,6.3%
8,    30 to 34 years,6.5%,6.9%,6.0%
9,    35 to 39 years,5.5%,5.7%,5.3%
10,    40 to 44 years,6.2%,6.3%,6.1%
11,    45 to 49 years,6.2%,6.2%,6.2%
12,    50 to 54 years,6.2%,6.1%,6.2%
13,    55 to 59 years,6.0%,5.7%,6.3%
14,    60 to 64 years,5.0%,4.9%,5.2%
15,    65 to 69 years,4.0%,4.2%,3.7%
16,    70 to 74 years,2.8%,2.2%,3.5%
17,    75 to 79 years,2.3%,1.8%,2.8%
18,    80 to 84 years,1.8%,1.7%,2.0%
19,    85 years and over,2.4%,1.8%,3.0%
