,Label (Grouping),"Placer County, California!!Total!!Estimate","Placer County, California!!Male!!Estimate","Placer County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,5.3%,5.5%,5.1%
3,    5 to 9 years,6.4%,6.9%,6.0%
4,    10 to 14 years,6.6%,6.8%,6.4%
5,    15 to 19 years,6.6%,7.1%,6.2%
6,    20 to 24 years,5.0%,5.0%,4.9%
7,    25 to 29 years,5.3%,5.8%,4.9%
8,    30 to 34 years,5.6%,5.6%,5.7%
9,    35 to 39 years,6.1%,6.1%,6.1%
10,    40 to 44 years,6.6%,6.9%,6.3%
11,    45 to 49 years,6.9%,6.7%,7.0%
12,    50 to 54 years,7.1%,7.1%,7.1%
13,    55 to 59 years,7.0%,6.7%,7.3%
14,    60 to 64 years,6.5%,6.7%,6.3%
15,    65 to 69 years,6.0%,5.6%,6.4%
16,    70 to 74 years,4.9%,4.7%,5.0%
17,    75 to 79 years,3.0%,2.7%,3.4%
18,    80 to 84 years,2.4%,2.3%,2.4%
19,    85 years and over,2.7%,1.8%,3.4%
