,Label (Grouping),"Tulare County, California!!Total!!Estimate","Tulare County, California!!Male!!Estimate","Tulare County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,9.3%,9.5%,9.1%
3,    5 to 9 years,8.6%,8.6%,8.5%
4,    10 to 14 years,9.1%,9.4%,8.9%
5,    15 to 19 years,8.7%,9.0%,8.4%
6,    20 to 24 years,7.4%,7.7%,7.2%
7,    25 to 29 years,7.3%,7.4%,7.1%
8,    30 to 34 years,6.7%,6.8%,6.6%
9,    35 to 39 years,6.3%,6.5%,6.2%
10,    40 to 44 years,6.0%,6.0%,6.1%
11,    45 to 49 years,6.1%,6.1%,6.1%
12,    50 to 54 years,5.7%,5.7%,5.8%
13,    55 to 59 years,5.0%,5.0%,5.1%
14,    60 to 64 years,4.1%,3.9%,4.2%
15,    65 to 69 years,3.1%,2.8%,3.3%
16,    70 to 74 years,2.2%,2.1%,2.3%
17,    75 to 79 years,1.7%,1.5%,1.9%
18,    80 to 84 years,1.3%,1.1%,1.5%
19,    85 years and over,1.2%,0.9%,1.6%
