,Label (Grouping),"Trinity County, California!!Total!!Estimate","Trinity County, California!!Male!!Estimate","Trinity County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,5.9%,5.0%,7.0%
3,    5 to 9 years,4.4%,3.8%,5.0%
4,    10 to 14 years,5.6%,4.4%,6.8%
5,    15 to 19 years,4.7%,5.0%,4.4%
6,    20 to 24 years,4.4%,4.0%,4.8%
7,    25 to 29 years,4.5%,5.3%,3.6%
8,    30 to 34 years,5.1%,5.4%,4.7%
9,    35 to 39 years,6.3%,8.6%,4.0%
10,    40 to 44 years,3.7%,2.1%,5.3%
11,    45 to 49 years,7.1%,6.7%,7.6%
12,    50 to 54 years,9.1%,9.0%,9.2%
13,    55 to 59 years,10.4%,10.5%,10.3%
14,    60 to 64 years,8.9%,8.8%,8.9%
15,    65 to 69 years,6.9%,8.8%,4.8%
16,    70 to 74 years,5.2%,4.8%,5.7%
17,    75 to 79 years,3.4%,4.0%,2.7%
18,    80 to 84 years,1.5%,1.4%,1.5%
19,    85 years and over,3.1%,2.5%,3.7%
