,Label (Grouping),"San Luis Obispo County, California!!Total!!Estimate","San Luis Obispo County, California!!Male!!Estimate","San Luis Obispo County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,4.9%,4.9%,4.8%
3,    5 to 9 years,5.1%,5.3%,4.9%
4,    10 to 14 years,5.1%,4.9%,5.3%
5,    15 to 19 years,8.0%,8.2%,7.8%
6,    20 to 24 years,10.8%,11.8%,9.7%
7,    25 to 29 years,5.6%,5.9%,5.2%
8,    30 to 34 years,6.0%,6.3%,5.6%
9,    35 to 39 years,5.5%,5.8%,5.2%
10,    40 to 44 years,5.1%,5.2%,5.0%
11,    45 to 49 years,5.7%,5.9%,5.4%
12,    50 to 54 years,6.6%,6.6%,6.7%
13,    55 to 59 years,7.2%,6.8%,7.6%
14,    60 to 64 years,6.9%,6.5%,7.4%
15,    65 to 69 years,6.1%,6.0%,6.1%
16,    70 to 74 years,4.0%,3.5%,4.4%
17,    75 to 79 years,2.9%,2.4%,3.4%
18,    80 to 84 years,2.2%,1.9%,2.6%
19,    85 years and over,2.4%,2.0%,2.8%
