,Label (Grouping),"Humboldt County, California!!Total!!Estimate","Humboldt County, California!!Male!!Estimate","Humboldt County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,5.0%,4.9%,5.1%
3,    5 to 9 years,5.2%,4.6%,5.9%
4,    10 to 14 years,6.0%,7.0%,5.0%
5,    15 to 19 years,6.7%,6.2%,7.1%
6,    20 to 24 years,10.0%,10.0%,10.1%
7,    25 to 29 years,6.3%,6.5%,6.1%
8,    30 to 34 years,6.6%,6.9%,6.3%
9,    35 to 39 years,6.6%,7.1%,6.1%
10,    40 to 44 years,5.8%,6.3%,5.3%
11,    45 to 49 years,5.9%,6.2%,5.7%
12,    50 to 54 years,5.3%,5.2%,5.5%
13,    55 to 59 years,7.2%,7.3%,7.2%
14,    60 to 64 years,6.5%,6.3%,6.8%
15,    65 to 69 years,5.7%,5.5%,5.9%
16,    70 to 74 years,5.1%,5.1%,5.2%
17,    75 to 79 years,2.5%,3.0%,2.1%
18,    80 to 84 years,1.4%,0.6%,2.3%
19,    85 years and over,2.0%,1.5%,2.4%
