,Label (Grouping),"Alameda County, California!!Total!!Estimate","Alameda County, California!!Male!!Estimate","Alameda County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,6.1%,6.3%,5.8%
3,    5 to 9 years,6.1%,6.4%,5.7%
4,    10 to 14 years,5.9%,6.0%,5.7%
5,    15 to 19 years,5.9%,6.1%,5.7%
6,    20 to 24 years,6.7%,6.9%,6.5%
7,    25 to 29 years,7.9%,8.1%,7.8%
8,    30 to 34 years,8.1%,8.1%,8.0%
9,    35 to 39 years,7.3%,7.3%,7.4%
10,    40 to 44 years,7.5%,7.7%,7.2%
11,    45 to 49 years,7.0%,7.1%,6.9%
12,    50 to 54 years,7.0%,7.0%,7.0%
13,    55 to 59 years,6.5%,6.5%,6.6%
14,    60 to 64 years,5.5%,5.4%,5.7%
15,    65 to 69 years,4.3%,4.1%,4.5%
16,    70 to 74 years,2.9%,2.6%,3.1%
17,    75 to 79 years,2.0%,1.8%,2.2%
18,    80 to 84 years,1.5%,1.3%,1.8%
19,    85 years and over,1.7%,1.2%,2.2%
