,Label (Grouping),"Marin County, California!!Total!!Estimate","Marin County, California!!Male!!Estimate","Marin County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,5.3%,5.6%,5.1%
3,    5 to 9 years,5.8%,6.4%,5.2%
4,    10 to 14 years,6.1%,6.1%,6.1%
5,    15 to 19 years,5.7%,5.4%,5.9%
6,    20 to 24 years,3.9%,4.2%,3.6%
7,    25 to 29 years,4.4%,5.0%,3.7%
8,    30 to 34 years,5.0%,5.2%,4.8%
9,    35 to 39 years,5.8%,5.9%,5.6%
10,    40 to 44 years,7.9%,8.1%,7.7%
11,    45 to 49 years,7.9%,7.9%,7.9%
12,    50 to 54 years,8.3%,8.4%,8.2%
13,    55 to 59 years,7.9%,7.7%,8.0%
14,    60 to 64 years,8.0%,7.5%,8.4%
15,    65 to 69 years,6.0%,5.3%,6.7%
16,    70 to 74 years,4.3%,4.6%,4.0%
17,    75 to 79 years,3.0%,2.6%,3.4%
18,    80 to 84 years,2.5%,2.0%,2.9%
19,    85 years and over,2.4%,2.1%,2.7%
