,Label (Grouping),"Tehama County, California!!Total!!Estimate","Tehama County, California!!Male!!Estimate","Tehama County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,6.1%,6.5%,5.8%
3,    5 to 9 years,7.1%,8.1%,6.2%
4,    10 to 14 years,6.6%,6.3%,7.0%
5,    15 to 19 years,6.3%,6.1%,6.5%
6,    20 to 24 years,5.9%,6.3%,5.4%
7,    25 to 29 years,6.0%,6.0%,6.0%
8,    30 to 34 years,5.6%,5.9%,5.2%
9,    35 to 39 years,5.6%,5.7%,5.4%
10,    40 to 44 years,5.8%,5.7%,5.8%
11,    45 to 49 years,6.1%,6.0%,6.3%
12,    50 to 54 years,7.3%,7.3%,7.3%
13,    55 to 59 years,6.8%,6.7%,6.9%
14,    60 to 64 years,6.9%,6.5%,7.2%
15,    65 to 69 years,5.9%,5.3%,6.5%
16,    70 to 74 years,4.6%,5.0%,4.1%
17,    75 to 79 years,3.6%,3.3%,3.8%
18,    80 to 84 years,1.8%,1.4%,2.2%
19,    85 years and over,2.1%,1.9%,2.2%
