,Label (Grouping),"Contra Costa County, California!!Total!!Estimate","Contra Costa County, California!!Male!!Estimate","Contra Costa County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,5.9%,6.1%,5.7%
3,    5 to 9 years,6.7%,6.9%,6.6%
4,    10 to 14 years,6.7%,7.2%,6.3%
5,    15 to 19 years,6.5%,6.9%,6.2%
6,    20 to 24 years,6.1%,6.4%,5.9%
7,    25 to 29 years,6.1%,6.3%,5.9%
8,    30 to 34 years,6.4%,6.5%,6.4%
9,    35 to 39 years,6.6%,6.6%,6.5%
10,    40 to 44 years,6.9%,6.8%,7.0%
11,    45 to 49 years,7.3%,7.3%,7.3%
12,    50 to 54 years,7.6%,7.5%,7.6%
13,    55 to 59 years,6.9%,6.9%,6.9%
14,    60 to 64 years,6.0%,5.7%,6.2%
15,    65 to 69 years,4.8%,4.6%,5.1%
16,    70 to 74 years,3.4%,3.1%,3.6%
17,    75 to 79 years,2.3%,2.2%,2.5%
18,    80 to 84 years,1.7%,1.5%,1.9%
19,    85 years and over,1.9%,1.3%,2.6%
