,Label (Grouping),"Mendocino County, California!!Total!!Estimate","Mendocino County, California!!Male!!Estimate","Mendocino County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,6.1%,6.3%,5.9%
3,    5 to 9 years,5.9%,4.9%,6.9%
4,    10 to 14 years,6.5%,7.4%,5.5%
5,    15 to 19 years,6.6%,6.6%,6.6%
6,    20 to 24 years,4.3%,4.2%,4.3%
7,    25 to 29 years,5.3%,5.7%,5.0%
8,    30 to 34 years,6.4%,5.9%,6.9%
9,    35 to 39 years,7.1%,8.5%,5.7%
10,    40 to 44 years,4.1%,3.6%,4.5%
11,    45 to 49 years,6.0%,5.9%,6.1%
12,    50 to 54 years,6.2%,6.2%,6.2%
13,    55 to 59 years,6.9%,7.0%,6.7%
14,    60 to 64 years,8.7%,9.1%,8.4%
15,    65 to 69 years,8.4%,7.3%,9.5%
16,    70 to 74 years,4.2%,5.5%,3.0%
17,    75 to 79 years,3.4%,2.6%,4.2%
18,    80 to 84 years,1.7%,1.0%,2.4%
19,    85 years and over,2.3%,2.2%,2.3%
