,Label (Grouping),"Yuba County, California!!Total!!Estimate","Yuba County, California!!Male!!Estimate","Yuba County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,7.6%,7.7%,7.5%
3,    5 to 9 years,8.7%,8.6%,8.8%
4,    10 to 14 years,7.6%,8.9%,6.3%
5,    15 to 19 years,6.3%,4.2%,8.5%
6,    20 to 24 years,7.3%,8.9%,5.8%
7,    25 to 29 years,8.3%,8.6%,8.0%
8,    30 to 34 years,8.0%,7.6%,8.3%
9,    35 to 39 years,6.7%,7.6%,5.7%
10,    40 to 44 years,5.1%,5.0%,5.1%
11,    45 to 49 years,5.4%,4.9%,6.0%
12,    50 to 54 years,6.2%,5.9%,6.4%
13,    55 to 59 years,5.9%,5.6%,6.3%
14,    60 to 64 years,6.1%,5.6%,6.6%
15,    65 to 69 years,5.2%,5.2%,5.1%
16,    70 to 74 years,1.7%,2.2%,1.2%
17,    75 to 79 years,1.4%,1.3%,1.5%
18,    80 to 84 years,1.0%,1.1%,0.8%
19,    85 years and over,1.5%,1.0%,2.1%
