,Label (Grouping),"Riverside County, California!!Total!!Estimate","Riverside County, California!!Male!!Estimate","Riverside County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,6.6%,6.7%,6.5%
3,    5 to 9 years,7.2%,7.5%,6.9%
4,    10 to 14 years,7.3%,7.4%,7.2%
5,    15 to 19 years,7.4%,7.6%,7.3%
6,    20 to 24 years,7.2%,7.3%,7.0%
7,    25 to 29 years,7.2%,7.4%,6.9%
8,    30 to 34 years,6.6%,6.8%,6.5%
9,    35 to 39 years,6.4%,6.4%,6.5%
10,    40 to 44 years,6.2%,6.2%,6.2%
11,    45 to 49 years,6.4%,6.5%,6.4%
12,    50 to 54 years,6.4%,6.4%,6.3%
13,    55 to 59 years,6.1%,6.2%,6.0%
14,    60 to 64 years,5.1%,4.9%,5.3%
15,    65 to 69 years,4.7%,4.3%,5.0%
16,    70 to 74 years,3.2%,3.1%,3.3%
17,    75 to 79 years,2.5%,2.4%,2.6%
18,    80 to 84 years,1.7%,1.4%,2.0%
19,    85 years and over,1.7%,1.4%,2.1%
