,Label (Grouping),"San Diego County, California!!Total!!Estimate","San Diego County, California!!Male!!Estimate","San Diego County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,6.4%,6.6%,6.3%
3,    5 to 9 years,6.0%,5.9%,6.0%
4,    10 to 14 years,6.0%,6.2%,5.8%
5,    15 to 19 years,6.3%,6.5%,6.1%
6,    20 to 24 years,7.9%,8.9%,7.0%
7,    25 to 29 years,8.7%,9.0%,8.3%
8,    30 to 34 years,7.7%,8.0%,7.5%
9,    35 to 39 years,6.9%,7.0%,6.8%
10,    40 to 44 years,6.2%,6.2%,6.2%
11,    45 to 49 years,6.4%,6.3%,6.5%
12,    50 to 54 years,6.4%,6.3%,6.4%
13,    55 to 59 years,6.1%,6.0%,6.3%
14,    60 to 64 years,5.6%,5.3%,5.9%
15,    65 to 69 years,4.6%,4.3%,4.8%
16,    70 to 74 years,3.2%,2.8%,3.5%
17,    75 to 79 years,2.2%,1.8%,2.5%
18,    80 to 84 years,1.6%,1.5%,1.7%
19,    85 years and over,1.9%,1.3%,2.5%
