,Label (Grouping),"Sonoma County, California!!Total!!Estimate","Sonoma County, California!!Male!!Estimate","Sonoma County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,5.3%,5.5%,5.1%
3,    5 to 9 years,5.8%,6.2%,5.5%
4,    10 to 14 years,5.8%,6.0%,5.7%
5,    15 to 19 years,6.2%,6.3%,6.0%
6,    20 to 24 years,6.4%,6.7%,6.0%
7,    25 to 29 years,6.5%,6.9%,6.1%
8,    30 to 34 years,6.5%,6.7%,6.3%
9,    35 to 39 years,6.0%,6.2%,5.7%
10,    40 to 44 years,6.3%,6.4%,6.1%
11,    45 to 49 years,6.5%,6.6%,6.4%
12,    50 to 54 years,7.3%,7.2%,7.5%
13,    55 to 59 years,7.3%,6.9%,7.7%
14,    60 to 64 years,7.3%,7.3%,7.4%
15,    65 to 69 years,6.1%,5.6%,6.5%
16,    70 to 74 years,3.9%,3.9%,3.9%
17,    75 to 79 years,2.6%,2.3%,2.9%
18,    80 to 84 years,1.9%,1.6%,2.1%
19,    85 years and over,2.3%,1.6%,3.0%
