,Label (Grouping),"Orange County, California!!Total!!Estimate","Orange County, California!!Male!!Estimate","Orange County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,6.0%,6.1%,5.8%
3,    5 to 9 years,6.0%,6.2%,5.7%
4,    10 to 14 years,6.5%,6.8%,6.3%
5,    15 to 19 years,6.6%,6.8%,6.4%
6,    20 to 24 years,6.9%,7.1%,6.7%
7,    25 to 29 years,7.5%,7.8%,7.2%
8,    30 to 34 years,6.8%,7.0%,6.6%
9,    35 to 39 years,6.6%,6.5%,6.7%
10,    40 to 44 years,6.4%,6.5%,6.3%
11,    45 to 49 years,7.3%,7.2%,7.3%
12,    50 to 54 years,7.2%,7.2%,7.1%
13,    55 to 59 years,6.6%,6.7%,6.5%
14,    60 to 64 years,5.8%,5.5%,6.0%
15,    65 to 69 years,4.6%,4.3%,4.9%
16,    70 to 74 years,3.3%,3.1%,3.5%
17,    75 to 79 years,2.4%,2.2%,2.6%
18,    80 to 84 years,1.7%,1.5%,1.8%
19,    85 years and over,2.0%,1.4%,2.5%
