,Label (Grouping),"Ventura County, California!!Total!!Estimate","Ventura County, California!!Male!!Estimate","Ventura County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,6.7%,6.9%,6.6%
3,    5 to 9 years,7.0%,7.0%,7.1%
4,    10 to 14 years,7.1%,7.6%,6.7%
5,    15 to 19 years,7.7%,8.1%,7.4%
6,    20 to 24 years,6.9%,7.4%,6.5%
7,    25 to 29 years,6.6%,6.9%,6.3%
8,    30 to 34 years,6.2%,6.4%,6.1%
9,    35 to 39 years,6.5%,6.5%,6.5%
10,    40 to 44 years,7.0%,7.0%,7.0%
11,    45 to 49 years,7.5%,7.5%,7.6%
12,    50 to 54 years,7.4%,7.3%,7.5%
13,    55 to 59 years,6.1%,6.0%,6.2%
14,    60 to 64 years,5.3%,5.1%,5.4%
15,    65 to 69 years,3.8%,3.7%,4.0%
16,    70 to 74 years,2.5%,2.3%,2.7%
17,    75 to 79 years,2.1%,1.8%,2.4%
18,    80 to 84 years,1.7%,1.4%,2.0%
19,    85 years and over,1.7%,1.2%,2.2%
