,Label (Grouping),"San Luis Obispo County, California!!Total!!Estimate","San Luis Obispo County, California!!Male!!Estimate","San Luis Obispo County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,4.6%,4.7%,4.6%
3,    5 to 9 years,4.9%,5.1%,4.6%
4,    10 to 14 years,5.4%,5.1%,5.7%
5,    15 to 19 years,8.0%,8.2%,7.8%
6,    20 to 24 years,10.4%,11.2%,9.5%
7,    25 to 29 years,5.8%,6.3%,5.3%
8,    30 to 34 years,5.7%,6.0%,5.3%
9,    35 to 39 years,6.3%,6.3%,6.3%
10,    40 to 44 years,4.3%,4.6%,4.0%
11,    45 to 49 years,5.3%,5.4%,5.3%
12,    50 to 54 years,6.3%,6.4%,6.2%
13,    55 to 59 years,6.8%,6.5%,7.0%
14,    60 to 64 years,7.1%,6.5%,7.6%
15,    65 to 69 years,7.6%,7.5%,7.8%
16,    70 to 74 years,3.9%,3.6%,4.2%
17,    75 to 79 years,3.3%,2.8%,3.8%
18,    80 to 84 years,1.9%,1.8%,2.1%
19,    85 years and over,2.4%,2.0%,2.8%
