,Label (Grouping),"Merced County, California!!Total!!Estimate","Merced County, California!!Male!!Estimate","Merced County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,8.1%,8.2%,8.0%
3,    5 to 9 years,8.5%,8.5%,8.4%
4,    10 to 14 years,8.5%,8.6%,8.3%
5,    15 to 19 years,8.7%,8.8%,8.5%
6,    20 to 24 years,8.1%,8.4%,7.9%
7,    25 to 29 years,7.3%,7.6%,6.9%
8,    30 to 34 years,6.8%,7.0%,6.5%
9,    35 to 39 years,6.2%,6.0%,6.4%
10,    40 to 44 years,6.1%,6.3%,5.9%
11,    45 to 49 years,5.8%,5.9%,5.8%
12,    50 to 54 years,5.8%,5.8%,5.9%
13,    55 to 59 years,5.3%,5.2%,5.5%
14,    60 to 64 years,4.3%,4.2%,4.4%
15,    65 to 69 years,3.5%,3.5%,3.6%
16,    70 to 74 years,2.5%,2.2%,2.8%
17,    75 to 79 years,1.9%,1.8%,2.0%
18,    80 to 84 years,1.3%,1.0%,1.6%
19,    85 years and over,1.2%,0.9%,1.5%
