,Label (Grouping),"San Benito County, California!!Total!!Estimate","San Benito County, California!!Male!!Estimate","San Benito County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,7.3%,7.4%,7.3%
3,    5 to 9 years,7.8%,7.1%,8.4%
4,    10 to 14 years,8.4%,9.7%,7.1%
5,    15 to 19 years,8.2%,8.4%,8.0%
6,    20 to 24 years,6.5%,6.9%,6.1%
7,    25 to 29 years,6.4%,6.3%,6.4%
8,    30 to 34 years,6.4%,6.5%,6.4%
9,    35 to 39 years,6.7%,6.2%,7.3%
10,    40 to 44 years,6.9%,7.3%,6.5%
11,    45 to 49 years,7.6%,7.5%,7.7%
12,    50 to 54 years,7.1%,7.0%,7.2%
13,    55 to 59 years,6.0%,5.7%,6.2%
14,    60 to 64 years,4.7%,4.8%,4.6%
15,    65 to 69 years,2.6%,2.4%,2.7%
16,    70 to 74 years,3.1%,3.1%,3.0%
17,    75 to 79 years,1.8%,1.5%,2.1%
18,    80 to 84 years,1.3%,1.3%,1.3%
19,    85 years and over,1.2%,0.9%,1.6%
