,Label (Grouping),"Ventura County, California!!Total!!Estimate","Ventura County, California!!Male!!Estimate","Ventura County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,6.1%,6.2%,6.0%
3,    5 to 9 years,6.6%,6.6%,6.5%
4,    10 to 14 years,6.7%,7.0%,6.4%
5,    15 to 19 years,6.8%,7.0%,6.6%
6,    20 to 24 years,7.0%,7.3%,6.8%
7,    25 to 29 years,6.8%,7.2%,6.4%
8,    30 to 34 years,6.4%,6.6%,6.1%
9,    35 to 39 years,6.3%,6.5%,6.0%
10,    40 to 44 years,6.1%,5.9%,6.3%
11,    45 to 49 years,6.7%,6.7%,6.7%
12,    50 to 54 years,7.0%,7.0%,7.0%
13,    55 to 59 years,6.8%,6.4%,7.1%
14,    60 to 64 years,6.2%,6.3%,6.1%
15,    65 to 69 years,5.0%,4.8%,5.2%
16,    70 to 74 years,3.5%,3.3%,3.6%
17,    75 to 79 years,2.5%,2.4%,2.6%
18,    80 to 84 years,1.6%,1.1%,2.0%
19,    85 years and over,2.0%,1.5%,2.4%
