,Label (Grouping),"Siskiyou County, California!!Total!!Estimate","Siskiyou County, California!!Male!!Estimate","Siskiyou County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,5.2%,5.1%,5.4%
3,    5 to 9 years,6.1%,6.0%,6.2%
4,    10 to 14 years,5.3%,5.7%,5.0%
5,    15 to 19 years,5.7%,6.1%,5.2%
6,    20 to 24 years,5.0%,5.5%,4.6%
7,    25 to 29 years,4.7%,4.9%,4.6%
8,    30 to 34 years,5.5%,5.9%,5.1%
9,    35 to 39 years,4.7%,4.8%,4.6%
10,    40 to 44 years,4.7%,4.6%,4.9%
11,    45 to 49 years,5.5%,5.5%,5.5%
12,    50 to 54 years,7.2%,7.0%,7.3%
13,    55 to 59 years,8.7%,8.2%,9.3%
14,    60 to 64 years,8.8%,8.5%,9.1%
15,    65 to 69 years,7.4%,7.4%,7.4%
16,    70 to 74 years,6.5%,6.9%,6.1%
17,    75 to 79 years,3.6%,4.3%,2.9%
18,    80 to 84 years,2.3%,1.6%,3.0%
19,    85 years and over,2.9%,2.2%,3.6%
