,Label (Grouping),"Colusa County, California!!Total!!Estimate","Colusa County, California!!Male!!Estimate","Colusa County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,7.4%,7.2%,7.5%
3,    5 to 9 years,7.8%,8.0%,7.5%
4,    10 to 14 years,8.1%,8.2%,8.1%
5,    15 to 19 years,7.2%,7.2%,7.1%
6,    20 to 24 years,6.9%,7.2%,6.5%
7,    25 to 29 years,6.6%,7.1%,6.1%
8,    30 to 34 years,6.4%,6.4%,6.5%
9,    35 to 39 years,6.3%,5.5%,7.1%
10,    40 to 44 years,5.5%,6.0%,4.8%
11,    45 to 49 years,6.1%,6.1%,6.2%
12,    50 to 54 years,6.6%,6.6%,6.6%
13,    55 to 59 years,6.6%,6.2%,6.9%
14,    60 to 64 years,5.6%,6.0%,5.1%
15,    65 to 69 years,4.5%,4.2%,4.9%
16,    70 to 74 years,3.3%,3.5%,3.0%
17,    75 to 79 years,2.4%,2.1%,2.7%
18,    80 to 84 years,1.8%,1.8%,1.8%
19,    85 years and over,1.0%,0.5%,1.5%
