,Label (Grouping),"San Mateo County, California!!Total!!Estimate","San Mateo County, California!!Male!!Estimate","San Mateo County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,5.7%,6.0%,5.5%
3,    5 to 9 years,5.9%,6.3%,5.6%
4,    10 to 14 years,6.0%,6.2%,5.9%
5,    15 to 19 years,5.3%,5.6%,5.0%
6,    20 to 24 years,5.4%,5.6%,5.2%
7,    25 to 29 years,7.1%,7.5%,6.7%
8,    30 to 34 years,7.5%,7.8%,7.3%
9,    35 to 39 years,7.6%,7.8%,7.5%
10,    40 to 44 years,6.7%,6.8%,6.6%
11,    45 to 49 years,7.3%,7.3%,7.3%
12,    50 to 54 years,7.1%,7.0%,7.2%
13,    55 to 59 years,6.8%,6.8%,6.8%
14,    60 to 64 years,6.3%,6.0%,6.6%
15,    65 to 69 years,5.1%,4.8%,5.3%
16,    70 to 74 years,3.5%,3.1%,3.8%
17,    75 to 79 years,2.5%,2.4%,2.6%
18,    80 to 84 years,1.8%,1.4%,2.3%
19,    85 years and over,2.3%,1.7%,2.8%
