,Label (Grouping),"San Mateo County, California!!Total!!Estimate","San Mateo County, California!!Male!!Estimate","San Mateo County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,6.2%,6.6%,5.9%
3,    5 to 9 years,6.4%,6.8%,6.1%
4,    10 to 14 years,5.7%,5.8%,5.6%
5,    15 to 19 years,5.5%,5.8%,5.3%
6,    20 to 24 years,5.5%,5.9%,5.1%
7,    25 to 29 years,6.8%,7.0%,6.5%
8,    30 to 34 years,7.3%,7.5%,7.0%
9,    35 to 39 years,7.3%,7.6%,7.1%
10,    40 to 44 years,7.6%,7.4%,7.7%
11,    45 to 49 years,7.5%,7.5%,7.4%
12,    50 to 54 years,7.5%,7.5%,7.5%
13,    55 to 59 years,7.1%,6.8%,7.4%
14,    60 to 64 years,5.8%,5.7%,5.8%
15,    65 to 69 years,4.3%,4.2%,4.5%
16,    70 to 74 years,3.1%,2.7%,3.6%
17,    75 to 79 years,2.5%,2.1%,2.8%
18,    80 to 84 years,1.9%,1.7%,2.0%
19,    85 years and over,2.1%,1.4%,2.9%
