,Label (Grouping),"Santa Cruz County, California!!Total!!Estimate","Santa Cruz County, California!!Male!!Estimate","Santa Cruz County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,5.3%,5.4%,5.2%
3,    5 to 9 years,5.5%,6.0%,5.1%
4,    10 to 14 years,5.5%,5.4%,5.5%
5,    15 to 19 years,8.5%,8.9%,8.2%
6,    20 to 24 years,10.0%,10.0%,10.0%
7,    25 to 29 years,5.9%,6.2%,5.7%
8,    30 to 34 years,5.6%,5.8%,5.3%
9,    35 to 39 years,6.5%,6.3%,6.7%
10,    40 to 44 years,5.3%,5.2%,5.3%
11,    45 to 49 years,6.4%,6.4%,6.3%
12,    50 to 54 years,6.8%,7.2%,6.5%
13,    55 to 59 years,7.1%,6.5%,7.7%
14,    60 to 64 years,6.7%,7.0%,6.4%
15,    65 to 69 years,5.4%,5.2%,5.7%
16,    70 to 74 years,3.9%,3.7%,4.0%
17,    75 to 79 years,2.7%,2.7%,2.7%
18,    80 to 84 years,1.4%,1.1%,1.8%
19,    85 years and over,1.5%,1.0%,1.9%
