,Label (Grouping),"Butte County, California!!Total!!Estimate","Butte County, California!!Male!!Estimate","Butte County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,5.5%,5.7%,5.2%
3,    5 to 9 years,5.9%,5.9%,5.9%
4,    10 to 14 years,5.4%,5.7%,5.2%
5,    15 to 19 years,7.0%,7.3%,6.8%
6,    20 to 24 years,11.7%,12.1%,11.3%
7,    25 to 29 years,6.3%,6.8%,5.9%
8,    30 to 34 years,5.9%,6.2%,5.6%
9,    35 to 39 years,5.2%,5.2%,5.2%
10,    40 to 44 years,5.2%,5.6%,4.8%
11,    45 to 49 years,5.4%,5.4%,5.5%
12,    50 to 54 years,6.2%,6.1%,6.2%
13,    55 to 59 years,6.8%,6.6%,7.0%
14,    60 to 64 years,6.4%,6.3%,6.6%
15,    65 to 69 years,5.6%,5.4%,5.8%
16,    70 to 74 years,3.9%,3.7%,4.0%
17,    75 to 79 years,2.8%,2.5%,3.1%
18,    80 to 84 years,2.3%,2.1%,2.5%
19,    85 years and over,2.5%,1.7%,3.2%
