,Label (Grouping),"Lake County, California!!Total!!Estimate","Lake County, California!!Male!!Estimate","Lake County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,5.4%,5.8%,5.0%
3,    5 to 9 years,5.0%,5.3%,4.7%
4,    10 to 14 years,6.3%,6.2%,6.3%
5,    15 to 19 years,5.4%,6.7%,4.0%
6,    20 to 24 years,5.0%,5.1%,4.9%
7,    25 to 29 years,6.5%,7.2%,5.6%
8,    30 to 34 years,4.8%,5.2%,4.3%
9,    35 to 39 years,5.0%,3.9%,6.2%
10,    40 to 44 years,6.1%,6.8%,5.4%
11,    45 to 49 years,5.8%,6.2%,5.4%
12,    50 to 54 years,9.1%,8.1%,10.2%
13,    55 to 59 years,9.2%,8.6%,9.8%
14,    60 to 64 years,8.3%,7.9%,8.7%
15,    65 to 69 years,7.5%,7.9%,7.1%
16,    70 to 74 years,3.2%,2.6%,3.8%
17,    75 to 79 years,3.0%,2.5%,3.5%
18,    80 to 84 years,2.3%,2.4%,2.2%
19,    85 years and over,2.3%,1.6%,3.0%
