,Label (Grouping),"Shasta County, California!!Total!!Estimate","Shasta County, California!!Male!!Estimate","Shasta County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,5.5%,6.1%,5.0%
3,    5 to 9 years,5.5%,5.8%,5.2%
4,    10 to 14 years,6.3%,6.7%,5.8%
5,    15 to 19 years,6.9%,7.6%,6.2%
6,    20 to 24 years,6.3%,6.4%,6.2%
7,    25 to 29 years,5.9%,6.2%,5.6%
8,    30 to 34 years,5.2%,4.8%,5.5%
9,    35 to 39 years,5.1%,5.6%,4.7%
10,    40 to 44 years,6.2%,6.6%,5.9%
11,    45 to 49 years,6.6%,6.2%,7.0%
12,    50 to 54 years,7.7%,7.3%,8.2%
13,    55 to 59 years,7.4%,7.0%,7.7%
14,    60 to 64 years,7.1%,7.1%,7.2%
15,    65 to 69 years,6.1%,6.0%,6.1%
16,    70 to 74 years,4.3%,4.1%,4.6%
17,    75 to 79 years,2.7%,2.9%,2.6%
18,    80 to 84 years,2.7%,2.0%,3.4%
19,    85 years and over,2.5%,1.7%,3.3%
